PVWatts: Hourly PV Performance Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,14,7,364,9,0,334.957,23.416,1972.087,1890.643,,,,,,,,,,,,,,2100 Gallon Green Plastic Water Storage Tank,,,,,,,,,12,1,11,5,582,14,3,531.711,26.42,3086.773,2970.267,12.67161293,,
1,4,15,22,290,6,7.2,278.863,9.612,1746.663,1671.506,,,,,,,,,,,,,,Ships Immediately!,2100 Gallons,"87""","90""",9512-N-44413,"$1,199.99",,,,12,1,12,24,545,14,3,514.935,26.07,2994.175,2880.833,12.29007382,,
1,4,16,16,212,7,4.1,202.656,10.431,1263.935,1201.329,,,,,,,,,,,,,,2100 Gallon Green Plastic Water Storage Tank,,,,,,,,,12,1,13,19,492,14,4.1,461.591,23.626,2714.937,2610.862,11.13833628,,
1,4,17,0,122,7,2.6,111.531,8.565,702.192,652.63,,,,,,,,,,,,,,Ships Immediately!,2100 Gallons,"87""","90""",9539-N-44413,"$1,199.99",,,,12,1,14,10,413,15,3.6,382.054,23.187,2251.667,2162.051,9.223639964,,
1,4,18,0,27,8,0,23.91,6.417,151.948,113.533,,,,,,,,,,,,,,2550 Gal Black Plastic Water Storage Tank,,,,,,,,,12,1,15,3,310,14,6.1,283.616,18.252,1709.987,1635.826,6.978683698,,
1,4,19,0,0,6.7,0,0,6.7,0,0,,,,,,,,,,,,,,Ships Immediately!,2550 Gallons,"93""","95""",9513-N-43812,"$1,199.99",,,,12,1,16,2,193,12.6,6.2,176.831,14.817,1082.704,1024.49,4.3706309,,
1,4,20,0,0,7,2.6,0,7,0,0,,,,,,,,,,,,,,2550 Gal Green Plastic Water Storage Tank,,,,,,,,,12,1,17,0,91,10,7.2,82.732,10.374,516.761,471.136,2.009938174,,
1,4,21,0,0,6,0,0,6,0,0,,,,,,,,,,,,,,Ships Immediately!,2550 Gallons,"93""","95""",9513-N-43814,"$1,199.99",,,,12,1,18,0,9,8,4.1,7.939,6.722,50.385,13.852,0.059094749,,
1,4,22,0,0,5.7,0,0,5.7,0,0,,,,,,,,,,,,,,2550 Gal Black Plastic Water Storage Tank,,,,,,,,,12,1,19,0,0,7,4.6,0,7,0,0,23440.323,,
1,4,23,0,0,5,4.1,0,5,0,0,,,,,,,,,,,,,,Ships Immediately!,2550 Gallons,"93""","95""",9514-N-43812,"$1,199.99",,,,12,1,20,0,0,5,5.1,0,5,0,0,,,
1,5,0,0,0,4,4.1,0,4,0,0,,,,,,,,,,,,,,2550 Gal Green Plastic Water Storage Tank,,,,,,,,,12,1,21,0,0,3,0,0,3,0,0,,,
1,5,1,0,0,3.7,3.6,0,3.7,0,0,,,,,,,,,,,,,,Ships Immediately!,2550 Gallons,"93""","95""",9514-N-43814,"$1,199.99",,,,12,1,22,0,0,2.3,3.6,0,2.3,0,0,,,
1,5,2,0,0,3,4.1,0,3,0,0,,,,,,,,,,,,,,3000 Gallon Plastic Water Storage Tank,3000 Gallons,"102""","95""",N-42042,"$1,199.99",,,,12,1,23,0,0,3,0,0,3,0,0,,,
1,5,3,0,0,3,2.1,0,3,0,0,,,,,,,,,,,,,,3000 Gallon Plastic Water Storage Tank,3000 Gallons,"95""","107""",N-40635,"$1,199.99",,,,,,,,,,,,,,,,,
1,5,4,0,0,2.7,0,0,2.7,0,0,,,,,,,,,,,,,,2500 Gal Green Plastic Water Storage Tank,,,,,,,,,,,,,,,,,,,,,,
1,5,5,0,0,3,2.1,0,3,0,0,,,,,,,,,,,,,,Ships Immediately!,2500 Gallons,"102""","79""",9525-N-42039,"$1,149.99",,,,,,,,,,,,,,,,,
